n,positives,negatives,tp,tn,fp,fn,sensitivity,specificity,balanced_accuracy,MCC,accuracy,positive_predictive_value,negative_predictive_value,replicate
34,9,25,9,2,23,0,1.0,0.08,0.54,0.15,0.3235294117647059,0.28125,1.0,69
30,7,23,6,2,21,1,0.8571428571428571,0.08695652173913043,0.4720496894409938,-0.07881104062391008,0.26666666666666666,0.2222222222222222,0.6666666666666666,70
18,8,10,8,0,10,0,1.0,0.0,0.5,,0.4444444444444444,0.4444444444444444,,71
17,9,8,8,0,8,1,0.8888888888888888,0.0,0.4444444444444444,-0.23570226039551587,0.47058823529411764,0.5,0.0,72
23,9,14,8,0,14,1,0.8888888888888888,0.0,0.4444444444444444,-0.26590801173915524,0.34782608695652173,0.36363636363636365,0.0,73
28,9,19,8,2,17,1,0.8888888888888888,0.10526315789473684,0.49707602339181284,-0.00883021571376696,0.35714285714285715,0.32,0.6666666666666666,74
27,11,16,9,2,14,2,0.8181818181818182,0.125,0.4715909090909091,-0.07858682668274143,0.4074074074074074,0.391304347826087,0.5,75
26,9,17,5,0,17,4,0.5555555555555556,0.0,0.2777777777777778,-0.5860327153276884,0.19230769230769232,0.22727272727272727,0.0,76
31,10,21,10,4,17,0,1.0,0.19047619047619047,0.5952380952380952,0.2656063576298653,0.45161290322580644,0.37037037037037035,1.0,77
25,8,17,8,2,15,0,1.0,0.11764705882352941,0.5588235294117647,0.20228869496966945,0.4,0.34782608695652173,1.0,78
31,7,24,6,2,22,1,0.8571428571428571,0.08333333333333333,0.47023809523809523,-0.08417937871268423,0.25806451612903225,0.21428571428571427,0.6666666666666666,79
32,9,23,7,4,19,2,0.7777777777777778,0.17391304347826086,0.4758454106280193,-0.05564838027451482,0.34375,0.2692307692307692,0.6666666666666666,80
20,10,10,7,0,10,3,0.7,0.0,0.35,-0.420084025208403,0.35,0.4117647058823529,0.0,81
26,7,19,5,2,17,2,0.7142857142857143,0.10526315789473684,0.40977443609022557,-0.2218421599939607,0.2692307692307692,0.22727272727272727,0.5,82
19,8,11,8,0,11,0,1.0,0.0,0.5,,0.42105263157894735,0.42105263157894735,,83
28,10,18,6,0,18,4,0.6,0.0,0.3,-0.5477225575051662,0.21428571428571427,0.25,0.0,84
33,9,24,7,0,24,2,0.7777777777777778,0.0,0.3888888888888889,-0.4147806778921701,0.21212121212121213,0.22580645161290322,0.0,85
25,6,19,4,2,17,2,0.6666666666666666,0.10526315789473684,0.38596491228070173,-0.26569371377681855,0.24,0.19047619047619047,0.5,86
31,11,20,8,2,18,3,0.7272727272727273,0.1,0.41363636363636364,-0.22469871047585138,0.3225806451612903,0.3076923076923077,0.4,87
34,9,25,7,2,23,2,0.7777777777777778,0.08,0.4288888888888889,-0.19474579822405907,0.2647058823529412,0.23333333333333334,0.5,88
25,10,15,10,0,15,0,1.0,0.0,0.5,,0.4,0.4,,89
